Country,ISO2,ISO3,OMNIARegion,ZijieRegion,Metric,Unit,OMNIA2019_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,AlignmentFactor_vs_old_2025,HistoricalSource2019,HistoricalSource2020_2024,ProjectionMethod2025_2050,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Tunisia,TN,TUN,AFN,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,CD,COD,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,CI,CIV,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,GH,GHA,AFW,Rest of World,Primary aluminium ingot production,kt,42.0,True,Ghana,,Exports,1.1901236507411204,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,42.0,37.566,39.239,55.592,48.314,35.084,37.7975889087881,40.511177817576204,43.26174580428075,46.05181977768306,48.94002611045313,51.921054148949956,54.993425150816826,58.149637528659326,61.37152050037587,64.62319598208374,67.85703334716273,71.04216809776034,74.15027097961308,77.18071085878044,80.18286916202342,83.18698479935172,86.17399760505499,89.17390389708903,92.23217835880068,95.30921179264601,98.35514379968144,101.37347392089822,104.32985861845438,107.20672711337588,110.00260780910824,112.63388375222644
Cameroon,CM,CMR,AFW,Other main producer,Primary aluminium ingot production,kt,70.0,True,Cameroon,,,0.2439047254029334,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,70.0,61.7,47.3,62.8,62.2,28.6,27.380668410264153,26.161336820528312,25.78011950758297,25.307760075255093,24.916399184826144,24.59056277460884,24.33651670263572,24.17153876467169,24.06929562988502,24.02194558952423,24.022766385743694,24.045660624398025,24.073419455468915,24.117387192197032,24.180730083455824,24.263265132736585,24.367415483137773,24.4689396524275,24.568665210408614,24.684217595468468,24.815812735851598,24.96012167819164,25.09183032795292,25.200546516370395,25.29390134178957,25.406015449392772
Gabon,GA,GAB,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,BJ,BEN,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,SN,SEN,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,TG,TGO,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,NE,NER,AFW,Rest of World,Primary aluminium ingot production,kt,0.0,False,,,,,OMNIA INF_Data,"British Geological Survey, World Mineral Production 2020-24, Production of primary aluminium",BGS 2024 country value rebased to a synthetic Zijie 2024 regional value linearly back-extrapolated from Zijie 2025-2026; Zijie regional trajectory applied from 2025 onward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
